variable,year,level
AGE,2013,18
AGE,2013,19
AGE,2013,20
AGE,2013,21
AGE,2013,22
AGE,2013,23
AGE,2013,24
AGE,2013,25
AGE,2013,26
AGE,2013,27
AGE,2013,28
AGE,2013,29
AGE,2013,30
AGE,2013,31
AGE,2013,32
AGE,2013,33
AGE,2013,34
AGE,2013,35
AGE,2013,36
AGE,2013,37
AGE,2013,38
AGE,2013,39
AGE,2013,40
AGE,2013,41
AGE,2013,42
AGE,2013,43
AGE,2013,44
AGE,2013,45
AGE,2013,46
AGE,2013,47
AGE,2013,48
AGE,2013,49
AGE,2013,50
AGE,2013,51
AGE,2013,52
AGE,2013,53
AGE,2013,54
AGE,2013,55
AGE,2013,56
AGE,2013,57
AGE,2013,58
AGE,2013,59
AGE,2013,60
AGE,2013,61
AGE,2013,62
AGE,2013,63
AGE,2013,64
AGE,2013,65
AGE,2013,66
AGE,2013,67
AGE,2013,68
AGE,2013,69
AGE,2013,70
AGE,2013,71
AGE,2013,72
AGE,2013,73
AGE,2013,74
AGE,2013,75
AGE,2013,76
AGE,2013,77
AGE,2013,78
AGE,2013,79
AGE,2013,80
AGE,2013,81
AGE,2013,82
AGE,2013,83
AGE,2013,84
AGE,2013,85
AGE,2013,86
AGE,2013,87
AGE,2013,88
AGE,2013,89
AGE,2013,90+
AGE,2014,18
AGE,2014,19
AGE,2014,20
AGE,2014,21
AGE,2014,22
AGE,2014,23
AGE,2014,24
AGE,2014,25
AGE,2014,26
AGE,2014,27
AGE,2014,28
AGE,2014,29
AGE,2014,30
AGE,2014,31
AGE,2014,32
AGE,2014,33
AGE,2014,34
AGE,2014,35
AGE,2014,36
AGE,2014,37
AGE,2014,38
AGE,2014,39
AGE,2014,40
AGE,2014,41
AGE,2014,42
AGE,2014,43
AGE,2014,44
AGE,2014,45
AGE,2014,46
AGE,2014,47
AGE,2014,48
AGE,2014,49
AGE,2014,50
AGE,2014,51
AGE,2014,52
AGE,2014,53
AGE,2014,54
AGE,2014,55
AGE,2014,56
AGE,2014,57
AGE,2014,58
AGE,2014,59
AGE,2014,60
AGE,2014,61
AGE,2014,62
AGE,2014,63
AGE,2014,64
AGE,2014,65
AGE,2014,66
AGE,2014,67
AGE,2014,68
AGE,2014,69
AGE,2014,70
AGE,2014,71
AGE,2014,72
AGE,2014,73
AGE,2014,74
AGE,2014,75
AGE,2014,76
AGE,2014,77
AGE,2014,78
AGE,2014,79
